Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
head/10000/PVector,1.1665694893861882e-8,1.1614156171214332e-8,1.1717527492765177e-8,1.7738154779734613e-10,1.4704354476772943e-10,2.2475071392440666e-10
head/10000/Seq,1.0626994621265741e-8,1.0621234312655206e-8,1.0638490450758969e-8,2.6945662990244172e-11,1.2959816682412007e-11,4.99639504230603e-11
last/100/[],1.1106770223313989e-7,1.1101956811046657e-7,1.1116341828449854e-7,2.2407835810764482e-10,1.4374235711765207e-10,3.2635079746894154e-10
last/100/Vector,8.444319570336483e-9,8.441472538650505e-9,8.44825745563174e-9,1.1007569525457146e-11,8.771323359512416e-12,1.6102747811183428e-11
last/100/PVector,8.764200703995393e-9,8.753401074140777e-9,8.779880751236326e-9,4.423573752851279e-11,3.293307903926011e-11,6.594270344482256e-11
last/100/Seq,1.062991604910816e-8,1.0625458645787893e-8,1.0638774853685977e-8,2.0661073732153718e-11,1.3367402038821393e-11,3.1391554379798046e-11
last/1000/[],1.2748877965421774e-6,1.2741027180541888e-6,1.2759869824301123e-6,3.161498322301853e-9,2.3366231450351117e-9,4.459561736120017e-9
last/1000/Vector,8.442764535573208e-9,8.437567529139884e-9,8.452352824872527e-9,2.376285099685242e-11,1.6188403756104508e-11,3.70697469525291e-11
last/1000/PVector,8.733708785291323e-9,8.72226274334753e-9,8.746578629922892e-9,4.1613675170305425e-11,3.510460860038413e-11,5.0349214165540054e-11
last/1000/Seq,1.0656306838473391e-8,1.0648180441508982e-8,1.0669166739282668e-8,3.4724038142308794e-11,2.134560691862835e-11,5.1783793960621486e-11
last/10000/[],1.3222296159247459e-5,1.3199392184711224e-5,1.3280179982867662e-5,1.1399547928770275e-7,5.518574468042523e-8,1.9780392180456184e-7
last/10000/Vector,8.437938994442572e-9,8.434352511752504e-9,8.443204125348201e-9,1.4272905853374125e-11,1.0357136845730718e-11,1.955441743890152e-11
last/10000/PVector,8.776554064516135e-9,8.764329907831284e-9,8.795193097551889e-9,4.73025511427182e-11,3.1860641759732126e-11,8.097366043451396e-11
last/10000/Seq,1.0658463211275457e-8,1.065072175734748e-8,1.0668473796801424e-8,2.968811875693994e-11,2.206085776954593e-11,4.1975749663377424e-11
"update (single, middle, nf)/100/Vector",1.6435746529295266e-7,1.6418049323608623e-7,1.645769298975497e-7,6.644879574726897e-10,5.14427698606746e-10,9.651640882999437e-10
"update (single, middle, nf)/100/PVector",5.477133676995802e-7,5.470287113396682e-7,5.486333434787121e-7,2.804613990810932e-9,2.1218784016009233e-9,4.199977661502142e-9
"update (single, middle, nf)/100/Seq",3.3395320180397806e-7,3.335112045002695e-7,3.347364469254026e-7,1.938297977075708e-9,1.290507564552267e-9,3.0264344427307364e-9
"update (single, middle, nf)/1000/Vector",1.475992922929058e-6,1.4738160780476169e-6,1.4780877343192603e-6,6.932753433289391e-9,5.846150560054847e-9,8.616075692805522e-9
"update (single, middle, nf)/1000/PVector",4.8020096887386326e-6,4.796819894996688e-6,4.809352336410119e-6,2.210279219607218e-8,1.7293954958471296e-8,2.7903135416109424e-8
"update (single, middle, nf)/1000/Seq",3.1626893946455053e-6,3.160847232548887e-6,3.1656634938830336e-6,7.3864105694399985e-9,5.312389184151318e-9,1.0582623621879923e-8
"update (single, middle, nf)/10000/Vector",1.5614534503705615e-5,1.557197005979464e-5,1.5661720132725917e-5,1.4258991782822442e-7,1.2224810364122705e-7,1.6820313002702348e-7
"update (single, middle, nf)/10000/PVector",4.818311358900864e-5,4.812474530753013e-5,4.8264367209350544e-5,2.3652268222851905e-7,1.9716459718975356e-7,2.901642449419437e-7
"update (single, middle, nf)/10000/Seq",3.10909357562685e-5,3.1028553010011714e-5,3.117381244611921e-5,2.482509498962273e-7,1.7378298199750083e-7,3.2395458733026784e-7
"update (single, middle, whnf)/100/Vector",7.133399548038436e-8,7.109777894743773e-8,7.156807824054645e-8,8.163807558191487e-10,6.96951348288408e-10,1.0140511245473264e-9
"update (single, middle, whnf)/100/PVector",3.267024428171052e-8,3.263618520532893e-8,3.271544119318802e-8,1.3181189214503683e-10,9.44031200925501e-11,1.812776578282994e-10
"update (single, middle, whnf)/100/Seq",4.050841795740716e-8,4.047307530780615e-8,4.0552810440695445e-8,1.335392717148644e-10,1.03644185907996e-10,1.8034430539783835e-10
"update (single, middle, whnf)/1000/Vector",5.47127507120851e-7,5.461015316868064e-7,5.484448961742547e-7,3.87474822778473e-9,3.2827680096760048e-9,4.809864609505019e-9
